Id,CreationDate,Score,ViewCount,Tags,AnswerCount,FavoriteCount
53429,6/8/2019 8:03,2,146,<machine-learning><notation>,1,
53435,6/8/2019 10:22,1,37,<deep-learning><cnn><terminology>,2,
53438,6/8/2019 10:53,0,73,<machine-learning><feature-selection><prediction><performance>,2,
63874,11/27/2019 17:42,2,40,<python><graphs><networkx>,2,
63875,11/27/2019 17:48,0,53,<machine-learning><classification><multilabel-classification><accuracy>,2,
63876,11/27/2019 17:54,0,34,<tensorflow><rnn>,0,
63877,11/27/2019 17:58,1,12,<machine-learning><neural-network><nlp><lda>,0,
63878,11/27/2019 18:12,0,19,<python><deep-learning><autoencoder><gan>,0,
63879,11/27/2019 18:15,2,53,<gradient-descent>,0,
63880,11/27/2019 18:57,0,46,<nlp><reinforcement-learning>,1,
63882,11/27/2019 19:06,1,9,<nlp><reinforcement-learning><chatbot>,0,
63884,11/27/2019 19:59,1,44,<time-series><data><cross-validation><hyperparameter-tuning><time>,0,
63885,11/27/2019 20:05,1,19,<machine-learning><keras>,1,
63892,11/27/2019 22:55,1,10,<image-classification><image-recognition><object-detection><object-recognition>,0,
63895,11/28/2019 2:46,1,659,<classification><keras><tensorflow><training><gan>,1,
63898,11/28/2019 6:19,0,26,<image-classification><image-recognition><image-preprocessing>,1,
63900,11/28/2019 6:35,1,444,<machine-learning><regularization><mathematics>,1,
63901,11/28/2019 6:40,1,1128,<cross-validation>,1,
63903,11/28/2019 6:55,0,17,<machine-learning><neural-network>,1,
63905,11/28/2019 7:41,0,2265,<python><keras><tensorflow><batch-normalization>,1,1
63907,11/28/2019 8:06,0,46,<clustering><multiclass-classification>,1,
63909,11/28/2019 8:16,1,20,<machine-learning><bigdata>,1,
63912,11/28/2019 8:33,1,37,<r><regression><decision-trees>,1,
63914,11/28/2019 8:45,0,249,<keras><tensorflow><lstm><gpu><deep-network>,0,1
63916,11/28/2019 9:00,0,34,<regression><plotting><non-parametric>,0,
63917,11/28/2019 9:33,1,23,<machine-learning><loss-function><mse>,1,
63918,11/28/2019 9:56,1,63,<python><deep-learning><lstm><preprocessing><loss-function>,1,
63919,11/28/2019 9:58,0,2236,<python><evaluation><metric>,1,
63920,11/28/2019 10:25,0,2861,<machine-learning><python><scikit-learn>,1,
63922,11/28/2019 10:39,0,23,<python><deep-learning>,0,
63924,11/28/2019 11:01,0,35,<classification><training><features>,2,
63925,11/28/2019 11:33,0,46,<python><time-series><arima>,1,0
63928,11/28/2019 11:45,0,23,<nlp>,1,
63931,11/28/2019 12:52,1,22,<keras>,0,1
63933,11/28/2019 13:10,0,62,<python><keras><lstm><loss-function><recurrent-neural-net>,2,
63934,11/28/2019 14:03,1,11,<optimization>,0,
63938,11/28/2019 14:56,1,268,<machine-learning><classification><image-classification><image-preprocessing>,4,
63941,11/28/2019 16:37,0,34,<classification><dataset><class-imbalance>,1,
63944,11/28/2019 17:26,0,12,<fuzzy-logic>,0,
63947,11/28/2019 17:49,2,27,<machine-learning><classification><transfer-learning>,4,
63949,11/28/2019 19:02,1,19,<neural-network>,0,1
63951,11/28/2019 20:27,2,398,<neural-network><deep-learning><convnet><transfer-learning>,2,
63953,11/28/2019 21:19,1,79,<neural-network><keras>,2,
63957,11/28/2019 23:57,1,13,<neural-network><cnn><statistics><preprocessing><normalization>,0,
63959,11/29/2019 0:34,3,78,<deep-learning><classification><nlp><lstm><rnn>,2,
63960,11/29/2019 1:02,0,9,<machine-learning><neural-network><deep-learning><training><finetuning>,0,
63961,11/29/2019 1:59,1,144,<machine-learning><deep-learning><tensorflow><computer-vision>,1,1
63962,11/29/2019 2:51,1,20,<machine-learning><python><reinforcement-learning><q-learning>,0,
63963,11/29/2019 3:19,1,71,<machine-learning><time-series><class-imbalance>,0,
63964,11/29/2019 4:12,2,134,<sentiment-analysis>,1,
63966,11/29/2019 5:18,0,61,<python><keras><tensorflow><nlp><word2vec>,0,
63971,11/29/2019 6:34,1,31,<keras><cnn><convnet><encoding><semi-supervised-learning>,1,
63974,11/29/2019 7:24,0,565,<pytorch><pytorch-geometric>,1,
63976,11/29/2019 8:20,1,46,<machine-learning><neural-network><regression><autoencoder><vae>,0,1
63977,11/29/2019 9:20,1,95,<machine-learning><machine-learning-model><generative-models>,1,
63978,11/29/2019 9:42,1,32,<machine-learning><neural-network>,0,
63983,11/29/2019 10:28,1,20,<reinforcement-learning><ai><actor-critic>,0,
63988,11/29/2019 12:00,2,67,<r><clustering><decision-trees><k-means><evaluation>,1,
63991,11/29/2019 12:57,0,230,<feature-selection><feature-engineering><data-science-model>,2,
63993,11/29/2019 13:32,1,464,<machine-learning><python><deep-learning><image-classification><opencv>,1,
63995,11/29/2019 13:44,0,93,<machine-learning><pca><dimensionality-reduction><representation>,1,
63997,11/29/2019 14:24,0,140,<machine-learning><deep-learning><transformer>,1,1
53440,6/8/2019 11:39,1,48,<neural-network>,0,
53445,6/8/2019 13:50,1,465,<deep-learning><data-mining><cnn><image-recognition><ocr>,1,1
53448,6/8/2019 14:25,0,2873,<nlp><preprocessing><nltk><text>,1,1
53451,6/8/2019 16:10,2,170,<python><keras><tensorflow>,2,
53457,6/8/2019 19:37,1,13566,<keras>,2,1
53462,6/8/2019 20:46,0,66,<machine-learning><classification><nlp><data><bert>,1,
53467,6/8/2019 22:41,0,17,<machine-learning><deep-learning>,1,
53472,6/9/2019 0:10,3,178,<machine-learning><deep-learning><classification>,1,0
53474,6/9/2019 2:18,9,228,<deep-learning><cnn><lstm><rnn><feature-extraction>,3,3
53478,6/9/2019 5:10,7,934,<python><statistics><visualization><simulation>,3,4
53479,6/9/2019 6:22,5,257,<python><data-cleaning><apache-spark><pyspark>,1,
53480,6/9/2019 7:06,3,34,<neural-network><deep-learning><training><normalization>,0,0
53486,6/9/2019 13:31,2,143,<machine-learning><loss-function>,1,
53487,6/9/2019 13:35,5,1195,<machine-learning><deep-learning><activation-function>,1,0
53488,6/9/2019 15:04,3,1325,<machine-learning><deep-learning>,2,
53489,6/9/2019 15:16,0,208,<convnet><computer-vision><data-formats>,1,
53493,6/9/2019 18:25,1,42,<neural-network><keras>,0,
53503,6/10/2019 4:02,0,52,<machine-learning><linear-regression><mse>,2,
53507,6/10/2019 5:31,1,52,<machine-learning><pandas><data-science-model>,1,0
53512,6/10/2019 9:08,0,49,<r><linear-regression>,2,
53513,6/10/2019 9:36,3,2281,<machine-learning><python><scikit-learn><pandas><kaggle>,2,
53517,6/10/2019 10:37,0,49,<machine-learning>,1,
53524,6/10/2019 12:24,0,23,<machine-learning><svm>,1,
53527,6/10/2019 13:07,3,105,<cnn>,1,
53540,6/10/2019 17:23,0,95,<machine-learning><python><feature-selection><visualization>,1,
53542,6/10/2019 17:48,1,34,<visualization>,1,
53545,6/10/2019 18:47,1,33,<data-mining><text-mining><sentiment-analysis>,1,
53547,6/10/2019 21:25,2,69,<machine-learning><classification><tensorflow><image-classification>,1,1
53549,6/10/2019 23:04,1,20,<nlp><word-embeddings>,0,
53550,6/11/2019 1:05,1,262,<machine-learning><optimization><genetic-algorithms>,1,
53555,6/11/2019 5:27,2,313,<sentiment-analysis><bert>,1,1
53562,6/11/2019 8:38,2,140,<machine-learning><multiclass-classification><multilabel-classification>,1,
53563,6/11/2019 8:43,0,36,<machine-learning><scikit-learn><clustering>,1,
53567,6/11/2019 12:30,0,72,<machine-learning><scikit-learn><regression><mlp>,1,
53569,6/11/2019 12:49,3,114,<deep-learning><nlp>,0,
53575,6/11/2019 15:44,-2,48,<machine-learning><data-mining><dataset><data>,2,
53576,6/11/2019 16:12,1,78,<python>,1,
53579,6/11/2019 16:24,1,45,<machine-learning><predictive-modeling><machine-learning-model>,0,
64001,11/29/2019 16:00,2,49,<machine-learning><nlp><gensim>,1,
64002,11/29/2019 16:03,1,1173,<keras><tensorflow>,1,1
64004,11/29/2019 17:42,1,363,<reinforcement-learning>,0,1
64006,11/29/2019 17:50,2,174,<machine-learning><linear-regression><machine-learning-model><gradient-descent><feature-scaling>,2,2
64007,11/29/2019 18:41,1,145,<keras><tensorflow><backpropagation><evolutionary-algorithms>,0,
64008,11/29/2019 19:08,0,28,<deep-learning><image-classification>,0,
64009,11/29/2019 19:12,1,41,<data-mining><preprocessing><overfitting><class-imbalance><smote>,1,
64017,11/30/2019 6:40,1,12,<deep-learning><attention-mechanism>,0,
64018,11/30/2019 10:13,0,12,<machine-learning><recommender-system>,0,
64019,11/30/2019 10:14,1,67,<python><dataset><sampling><bayesian-networks>,2,
64020,11/30/2019 11:57,2,36,<linear-regression><gradient-descent><numpy><seaborn><python-3.x>,1,
64022,11/30/2019 12:31,8,3354,<neural-network><cnn><image-classification><perceptron>,4,8
64023,11/30/2019 12:54,0,27,<reinforcement-learning>,0,
64027,11/30/2019 14:37,1,57,<python><logistic-regression>,0,
64029,11/30/2019 15:53,5,52,<machine-learning><nlp><nltk><spacy>,2,
64030,11/30/2019 16:02,1,26,<deep-learning><siamese-networks>,0,
64034,11/30/2019 16:46,0,64,<clustering><feature-scaling><clusters>,1,
64035,11/30/2019 17:50,1,15,<predictive-modeling>,0,
64037,11/30/2019 21:16,1,31,<machine-learning><neural-network><deep-learning>,0,
64039,11/30/2019 21:33,0,24,<machine-learning><python><classification><nlp>,0,
64041,11/30/2019 21:50,0,11,<clustering><statistics><data-analysis><descriptive-statistics>,0,
64042,11/30/2019 22:34,0,27,<machine-learning><neural-network><deep-learning><cnn><image-classification>,1,
64043,11/30/2019 23:29,1,26,<machine-learning><r><cross-validation>,0,
64044,11/30/2019 23:30,1,204,<machine-learning><keras><tensorflow><lstm><rnn>,1,
64047,12/1/2019 0:16,1,32,<time-series><correlation><excel>,1,
64048,12/1/2019 0:32,0,836,<keras><tensorflow>,1,1
64049,12/1/2019 2:13,0,15,<machine-learning>,0,
64050,12/1/2019 4:21,1,19,<deep-learning><computer-vision>,1,
64051,12/1/2019 4:58,1,65,<faster-rcnn><annotation>,0,
64053,12/1/2019 5:54,1,121,<deep-learning><keras><autoencoder><dimensionality-reduction>,1,
64057,12/1/2019 13:10,2,187,<cnn><convolution><image-segmentation>,1,1
64058,12/1/2019 15:27,0,44,<machine-learning><r><preprocessing>,0,
64061,12/1/2019 18:27,4,57,<machine-learning><classification><statistics><naive-bayes-classifier>,1,1
64065,12/1/2019 20:52,0,43,<tensorflow><pytorch>,0,
64067,12/1/2019 23:19,1,134,<deep-learning><regression><generative-models><embeddings><labels>,1,
64069,12/2/2019 0:10,1,51,<classification><cnn><overfitting><audio-recognition>,0,
64070,12/2/2019 0:12,0,196,<neural-network><deep-learning><batch-normalization>,1,1
64071,12/2/2019 2:46,0,11,<machine-learning><inception>,0,1
64072,12/2/2019 5:29,1,8931,<tensorflow><cnn>,2,
64074,12/2/2019 7:06,0,21,<python><machine-learning-model><processing>,0,
64076,12/2/2019 7:30,0,17,<reinforcement-learning><optimization>,0,
64077,12/2/2019 8:48,0,20,<dataset><normalization><distribution>,1,
64078,12/2/2019 9:01,2,448,<machine-learning><lightgbm>,1,
64079,12/2/2019 9:08,0,40,<multiclass-classification><prediction><multilabel-classification>,0,
64080,12/2/2019 9:34,0,141,<python><cnn><pruning>,2,
64085,12/2/2019 10:51,0,9,<lstm><word-embeddings><sequence-to-sequence>,0,
64087,12/2/2019 11:29,0,21,<nlp><ocr>,0,
64088,12/2/2019 11:51,0,19,<classification><decision-trees><association-rules>,0,
64089,12/2/2019 12:04,0,25,<k-means><supervised-learning>,1,
64091,12/2/2019 14:18,0,8,<time-series>,0,
64092,12/2/2019 14:31,1,59,<machine-learning><cross-validation>,2,
53580,6/11/2019 16:28,3,46,<time-series><prediction>,0,
53582,6/11/2019 16:34,0,580,<machine-learning><python><predictive-modeling><data-science-model>,1,0
53584,6/11/2019 17:30,2,50,<machine-learning><clustering><dataset><data-cleaning>,1,
53585,6/11/2019 17:40,3,54,<python><clustering><graphs><community>,1,1
53587,6/11/2019 17:57,5,98,<machine-learning>,1,0
53592,6/11/2019 19:39,1,43,<python><keras><lstm>,0,1
53594,6/11/2019 20:55,4,88,<machine-learning><neural-network><cnn>,1,1
53595,6/11/2019 21:20,0,16,<dataset><data><machine-learning-model>,1,
53601,6/11/2019 23:46,1,61,<word2vec><word-embeddings><gensim>,0,
53602,6/12/2019 0:33,0,381,<keras><tensorflow>,1,
53605,6/12/2019 2:00,2,24,<machine-learning><neural-network>,0,
53606,6/12/2019 2:12,1,46,<python><neural-network><scikit-learn><unsupervised-learning><rbm>,0,
53609,6/12/2019 3:21,2,10881,<python><deep-learning><keras><numpy>,2,0
53612,6/12/2019 5:20,5,63,<pandas><matplotlib><seaborn>,2,
53621,6/12/2019 8:57,4,103,<machine-learning><pandas><feature-engineering><encoding><kaggle>,1,
53623,6/12/2019 9:30,0,170,<machine-learning><data-mining><regression><error-handling>,1,
53628,6/12/2019 10:48,0,42,<python><neural-network><classification><keras><prediction>,1,
53632,6/12/2019 12:38,0,117,<python><pandas>,1,
53633,6/12/2019 12:55,0,118,<scikit-learn><machine-learning-model><lasso>,2,
53636,6/12/2019 13:31,0,447,<rnn><feature-engineering><normalization><feature-scaling>,1,1
53637,6/12/2019 13:42,0,892,<scikit-learn><decision-trees>,0,
64094,12/2/2019 14:40,1,42,<data><cross-validation>,2,
64097,12/2/2019 15:02,1,218,<autoencoder>,1,
64100,12/2/2019 15:40,0,67,<machine-learning><neural-network><classification><convnet>,1,
64103,12/2/2019 16:10,0,25,<deep-learning>,0,
64104,12/2/2019 16:12,0,18,<python><dataset><heatmap>,0,
64107,12/2/2019 18:18,1,39,<machine-learning><python><deep-learning><tensorflow><java>,1,
64109,12/2/2019 18:30,0,27,<dataset><normalization><distribution>,0,
64113,12/2/2019 19:16,5,268,<machine-learning><predictive-modeling><feature-selection><feature-engineering>,3,1
64114,12/2/2019 19:33,2,20,<neural-network><autoencoder><generative-models>,0,1
64116,12/2/2019 20:22,1,39,<machine-learning><keras><tensorflow><optimization>,2,
64118,12/2/2019 20:49,4,211,<cnn><convolution>,1,1
64119,12/2/2019 21:13,6,180,<reinforcement-learning>,2,2
64120,12/2/2019 21:22,1,695,<deep-learning><keras><sequence-to-sequence><language-model><attention-mechanism>,2,1
64122,12/2/2019 22:25,2,45,<anomaly-detection>,1,1
64124,12/2/2019 22:50,0,95,<python><pandas><dataframe><csv>,1,
64125,12/2/2019 23:13,1,45,<r><data-wrangling><error-handling>,2,
64129,12/3/2019 2:27,0,19,<keras><softmax>,0,
64131,12/3/2019 3:34,0,4175,<colab>,1,
64135,12/3/2019 7:09,0,22,<computer-vision><object-detection>,1,
64136,12/3/2019 8:24,1,245,<python><nlp><nltk>,3,
64138,12/3/2019 10:21,2,45,<machine-learning><python><machine-learning-model><kernel>,0,
64140,12/3/2019 12:04,1,33,<classification><statistics><object-detection><matlab><confusion-matrix>,1,
64141,12/3/2019 12:19,0,27,<machine-learning><statistics><performance>,1,1
64143,12/3/2019 12:37,2,65,<regression><statistics>,1,0
64147,12/3/2019 14:11,2,190,<classification><logistic-regression><probability>,1,
64149,12/3/2019 15:50,2,122,<python><keras><time-series><stacked-lstm>,0,
64150,12/3/2019 17:01,0,48,<convolution><autoencoder>,0,
64151,12/3/2019 17:01,0,62,<machine-learning><deep-learning>,0,
43363,1/1/2019 3:53,0,36,<machine-learning><nlp>,1,
43366,1/1/2019 6:02,3,55,<deep-learning><convnet><image-classification>,1,1
43367,1/1/2019 6:16,0,24,<scikit-learn><tensorflow><scipy>,1,
43370,1/1/2019 10:06,2,37,<classification>,0,
43374,1/1/2019 13:18,3,38,<deep-learning><time-series><cnn><convolution>,1,
43375,1/1/2019 13:24,3,165,<machine-learning><dataset><dimensionality-reduction>,1,
43376,1/1/2019 14:19,4,1422,<machine-learning><python><xgboost>,1,1
53640,6/12/2019 13:58,0,35,<r><rstudio><ggplot2>,1,
53641,6/12/2019 14:11,3,154,<machine-learning><python><time-series>,2,
53645,6/12/2019 15:41,0,739,<keras><machine-learning-model>,1,
53647,6/12/2019 16:06,0,1071,<machine-learning><software-development><hardware>,1,
53650,6/12/2019 17:00,0,110,<cnn><backpropagation>,4,1
53655,6/12/2019 17:44,2,600,<keras><nlp>,1,
53657,6/12/2019 18:06,1,22,<statistics><probability><distribution><variance>,0,1
53658,6/12/2019 18:11,0,73,<time-series><bayesian>,1,
53659,6/12/2019 18:30,2,43,<clustering><data-cleaning><dimensionality-reduction><distribution>,1,
53663,6/12/2019 19:41,2,48,<scikit-learn><svm><anomaly-detection>,1,1
53664,6/12/2019 19:50,1,259,<tensorflow><convnet><recurrent-neural-net><transfer-learning>,0,2
53665,6/12/2019 21:31,0,3167,<neural-network><keras><mnist>,0,1
53666,6/12/2019 21:52,1,540,<python><dataset><multilabel-classification>,2,2
53670,6/13/2019 2:59,0,104,<machine-learning><time-series><clustering>,1,
53673,6/13/2019 5:27,1,1372,<machine-learning><python><dataframe><kaggle><binary>,2,
53674,6/13/2019 6:17,0,32,<machine-learning><keras><tensorflow><beginner>,1,
53676,6/13/2019 6:23,0,546,<dataset><data-cleaning>,1,
53681,6/13/2019 7:10,2,360,<machine-learning><nlp><evaluation><metric>,2,
53682,6/13/2019 7:11,2,103,<machine-learning><unsupervised-learning><supervised-learning>,1,
53686,6/13/2019 8:12,0,18,<dataset><data-cleaning>,1,
53688,6/13/2019 8:24,1,343,<clustering><k-means><unsupervised-learning><pca>,2,1
53689,6/13/2019 8:25,3,53,<tensorflow>,0,
53691,6/13/2019 8:49,2,901,<python><pandas>,1,1
53692,6/13/2019 8:56,1,22,<feature-engineering><feature-scaling>,0,
53694,6/13/2019 9:12,1,88,<time-series><regression><predictive-modeling>,2,
53697,6/13/2019 9:35,1,87,<scikit-learn><regression><optimization>,2,
64154,12/3/2019 18:40,2,96,<tsne>,1,
64156,12/3/2019 19:26,0,175,<neural-network><cnn><convolution>,1,1
64157,12/3/2019 20:32,0,36,<categorical-data><pytorch><embeddings>,2,
64164,12/4/2019 1:43,1,40,<deep-learning><cnn><multilabel-classification>,1,
64165,12/4/2019 2:57,1,16,<machine-learning><regression><ensemble-modeling><lasso>,1,
64166,12/4/2019 3:00,0,40,<machine-learning><scikit-learn><clustering><k-means>,2,
64174,12/4/2019 5:57,0,77,<machine-learning><neural-network><forecasting><transformer>,0,
64178,12/4/2019 7:36,1,57,<categorical-encoding>,0,1
64181,12/4/2019 8:05,1,111,<machine-learning><machine-learning-model>,2,
64183,12/4/2019 8:31,0,31,<keras><time-series><lstm>,0,
64186,12/4/2019 9:42,0,35,<evaluation><ocr>,1,
64188,12/4/2019 10:00,1,9,<predictive-modeling>,0,
64191,12/4/2019 10:38,0,6,<text-mining><information-retrieval><reference-request>,0,
64197,12/4/2019 11:05,1,60,<natural-language-process><machine-translation><speech-to-text>,2,
64200,12/4/2019 11:47,1,39,<machine-learning><deep-learning><rnn><transformer><attention-mechanism>,1,
64201,12/4/2019 12:07,4,44,<machine-learning><neural-network><feature-engineering><training><overfitting>,1,
64202,12/4/2019 12:47,0,10,<machine-learning><keras><cnn><one-hot-encoding>,0,
64203,12/4/2019 12:56,1,60,<cnn><visualization>,1,
64205,12/4/2019 13:15,1,33,<classification><loss-function><softmax><imbalanced-learn>,0,
43380,1/1/2019 19:15,1,133,<python><neural-network><keras><tensorflow>,1,
43381,1/1/2019 19:16,1,275,<machine-learning><homework>,0,
43385,1/1/2019 23:12,0,40,<optimization><theory>,1,
43386,1/2/2019 0:11,1,420,<machine-learning><sql><fuzzy-logic><evolutionary-algorithms>,1,
43392,1/2/2019 6:12,-1,124,<clustering><reference-request><terminology>,1,
43393,1/2/2019 9:20,1,23,<gaussian>,0,
43395,1/2/2019 12:20,1,59,<classification><unbalanced-classes><audio-recognition>,1,
43396,1/2/2019 12:54,1,30,<deep-learning><lstm><text-generation>,0,
43397,1/2/2019 13:09,0,598,<neural-network><categorical-data>,2,2
43400,1/2/2019 17:13,1,141,<predictive-modeling><labels>,0,
43401,1/2/2019 17:41,2,72,<feature-selection><svm>,0,
43404,1/2/2019 19:23,1,112,<feature-selection><random-forest><feature-engineering>,1,
43405,1/2/2019 20:13,1,185,<machine-learning><neural-network><training><optimization>,1,
43408,1/2/2019 23:15,0,89,<tensorflow><programming>,1,
43413,1/3/2019 3:08,0,268,<deep-learning><nlp><embeddings><deep-network>,1,
43416,1/3/2019 7:04,1,1216,<lstm><feature-scaling>,1,
43422,1/3/2019 10:06,0,66,<machine-learning><data><churn>,1,1
43423,1/3/2019 10:10,1,38,<machine-learning><predictive-modeling><accuracy>,1,
43425,1/3/2019 10:34,1,138,<python><pandas>,1,
43433,1/3/2019 15:16,0,159,<r><bigdata><data><data-cleaning>,1,
43436,1/3/2019 15:51,1,560,<machine-learning><python><multiclass-classification>,2,
43438,1/3/2019 16:32,2,149,<machine-learning><scikit-learn><predictive-modeling><overfitting>,0,
64215,12/4/2019 16:55,2,72,<machine-learning><regression><linear-regression><categorical-data>,5,
64218,12/4/2019 17:15,1,71,<classification><scikit-learn>,1,
64222,12/4/2019 18:15,1,40,<python><pandas>,1,
64226,12/4/2019 20:13,1,113,<neural-network><cross-validation><training><accuracy>,2,
64228,12/4/2019 21:29,1,46,<classification><dataset>,0,
64232,12/4/2019 23:43,2,35,<clustering><preprocessing><outlier><noise>,1,
64233,12/5/2019 0:03,5,58,<classification><multiclass-classification><text>,2,
64235,12/5/2019 1:58,1,65,<python><time-series>,1,
64238,12/5/2019 5:06,2,24,<python><statistics><data><distribution><descriptive-statistics>,1,
64240,12/5/2019 6:11,1,128,<neural-network><tensorflow><data-cleaning><bigdata><preprocessing>,2,
64248,12/5/2019 8:13,0,36,<cnn><loss-function><pytorch>,1,
64253,12/5/2019 9:07,0,55,<machine-learning><data-mining><dataset><data><data-cleaning>,2,
64254,12/5/2019 10:34,1,103,<sequence-to-sequence><bert><machine-translation><transformer><attention-mechanism>,0,
64257,12/5/2019 11:02,0,16,<logistic-regression>,0,
64260,12/5/2019 11:33,10,9195,<correlation><pearsons-correlation-coefficient><spearmans-rank-correlation><kendalls-tau-coefficient>,1,8
64262,12/5/2019 11:53,1,16,<loss-function><softmax>,0,
64264,12/5/2019 13:10,0,67,<keras><loss-function>,0,
64265,12/5/2019 13:18,0,146,<classification><pandas><dataframe><groupby>,1,
64273,12/5/2019 14:01,3,51,<predictive-modeling>,1,
64278,12/5/2019 15:14,3,3916,<machine-learning><neural-network><cnn>,3,1
64279,12/5/2019 15:27,0,145,<pca><orange>,0,1
64280,12/5/2019 15:49,1,45,<recommender-system><aws>,1,
64285,12/5/2019 17:25,2,21,<deep-learning><classification><ensemble-modeling><distribution>,0,
64286,12/5/2019 17:35,1,304,<machine-learning><neural-network><cnn><image-classification>,1,
64289,12/5/2019 18:47,1,58,<image-classification><decision-trees>,2,
64290,12/5/2019 18:49,2,129,<machine-learning><python><time-series><unsupervised-learning><anomaly-detection>,1,1
64291,12/5/2019 18:50,0,257,<keras><tensorflow><machine-learning-model><audio-recognition>,0,
64294,12/5/2019 19:16,2,187,<machine-learning><neural-network><cnn><overfitting><regularization>,2,
64297,12/5/2019 21:13,1,31,<time-series><variance>,0,
43439,1/3/2019 16:56,0,3417,<machine-learning><python><pandas><dataframe>,2,
43444,1/3/2019 17:55,3,546,<feature-selection><decision-trees><feature-engineering><feature-construction>,3,
43447,1/3/2019 19:10,1,577,<word2vec><activation-function>,2,
43450,1/3/2019 20:30,5,195,<machine-learning><python><cost-function>,2,5
43451,1/3/2019 21:07,2,431,<pytorch><gpu><google><colab>,0,
43455,1/3/2019 22:42,0,100,<orange>,1,
43456,1/3/2019 23:07,0,316,<statistics><tsne>,1,
43457,1/3/2019 23:56,2,1359,<machine-learning><keras><tensorflow><time-series><cnn>,2,
43459,1/4/2019 0:06,0,475,<convnet>,1,
43461,1/4/2019 0:42,1,141,<machine-learning><time-series><feature-engineering><data-leakage>,1,
43463,1/4/2019 6:03,3,1363,<machine-learning><deep-learning><keras><cnn><image-classification>,1,
43465,1/4/2019 6:56,0,214,<neural-network><deep-learning><nlp><dataset>,1,
43467,1/4/2019 7:15,1,70,<neural-network><logistic-regression><recurrent-neural-net><sequential-pattern-mining><mini-batch-gradient-descent>,0,
43469,1/4/2019 9:30,2,95,<machine-learning><r>,1,
43471,1/4/2019 10:26,5,485,<neural-network><classification><overfitting>,3,1
43479,1/4/2019 12:41,2,2877,<machine-learning><deep-learning><keras>,2,
